  %   cumulative   self               self        total
 time   seconds   seconds     calls  ms/call     ms/call  name
  0.00 47107.55      0.00         8     0.00        0.00  Rtc::MethodWrapper#initialize
  0.00 47107.55      0.00         8     0.00        0.00  Rtc::MethodWrapper#make_wrapper
  0.00 47107.55      0.00         4     0.00       62.50  Integer#times
  0.00 47107.55      0.00         2     0.00        0.00  Numeric#eql?
  0.00 47107.55      0.00        81     0.00        0.00  Integer#to_int
  0.00 47107.55      0.00        81     0.00        0.74  String#center
  0.00 47107.55      0.00         1     0.00        0.00  IO#write
  0.00 47107.55      0.00         1     0.00        0.00  IO#puts
  0.00 47107.55      0.00         1     0.00        0.00  Kernel.puts
  0.00 47107.55      0.00         2     0.00    47325.00  SudokuSolver#print_grid
  0.00 47107.55      0.00         1     0.00 47107550.00  #toplevel
